city,company_size,position,level,experience,raise_period,office,hybrid,remote,mean_salary,JavaScript / TypeScript and related frameworks,C# / .NET,Java and related frameworks,Python,PHP,"C, C++",Kotlin,Swift,Golang,Flutter
1,3,Mobile Development,3,4,2.0,no,no,yes,4309,0,0,0,0,0,0,0,1,0,0
0,1,Full Stack Development,2,2,2.0,yes,no,no,1350,1,0,1,0,0,0,0,0,0,0
0,1,Quality Assurance / Testing,1,2,2.0,no,no,yes,1009,0,0,0,1,0,0,0,0,0,0
0,4,Full Stack Development,3,6,1.0,no,yes,no,2326,1,1,0,1,1,0,0,0,0,0
1,1,Backend Development,3,6,1.0,no,no,yes,4499,0,1,0,0,0,0,0,0,0,0
0,1,Full Stack Development,3,4,1.0,yes,no,no,1896,0,1,0,0,0,0,0,0,0,0
1,1,Business Analysis,2,2,2.0,no,yes,no,1272,0,0,0,0,0,0,0,0,0,0
0,1,Mobile Development,3,5,1.0,no,no,yes,4499,0,0,1,0,0,0,1,0,0,0
0,1,Frontend Development,1,2,2.0,no,no,yes,1272,1,0,0,0,0,0,0,0,0,0
1,2,Software Development,3,8,2.0,no,no,yes,4309,0,1,0,1,0,1,0,0,0,1
0,1,Backend Development,3,4,2.0,no,no,yes,1723,0,0,1,0,0,0,0,0,0,0
1,1,Business Analysis,1,1,2.0,no,no,yes,764,0,0,0,0,0,0,0,0,0,0
0,0,Business Intelligence,2,3,2.0,yes,no,no,1547,0,0,0,1,0,0,0,0,0,0
1,3,Full Stack Development,2,3,2.0,no,no,yes,2915,1,0,1,0,0,0,0,0,0,0
0,1,Full Stack Development,3,6,2.0,yes,no,no,764,0,1,0,0,0,0,0,0,0,0
1,1,Mobile Development,3,4,1.0,no,no,yes,3493,0,0,0,0,0,0,0,1,0,0
0,1,Full Stack Development,1,2,2.0,no,no,yes,764,1,0,1,0,0,0,0,0,0,0
1,1,Backend Development,1,2,1.0,no,no,yes,667,0,1,0,0,0,0,0,0,0,0
1,1,Mobile Development,3,4,2.0,no,no,yes,2251,0,0,1,0,0,0,1,0,0,0
1,1,Mobile Development,1,2,2.0,no,yes,no,1041,1,0,0,0,0,0,0,0,0,1
0,1,Full Stack Development,2,2,2.0,no,no,yes,1568,0,0,0,0,1,0,0,0,0,0
0,1,Full Stack Development,2,3,1.0,no,no,yes,2499,0,0,0,0,0,0,1,0,0,0
0,1,Architectural Roles,3,5,1.0,no,no,yes,4890,0,0,1,1,0,1,0,0,0,0
0,1,Team and Technical Leadership,2,3,2.0,no,no,yes,3612,0,0,0,1,0,0,0,0,0,0
